Datum,Gemeinde,Ortsteil,Straße,Kategorie,Einbruchsversuch,Täter festgenommen?,ganze Polizei-Meldung
10.01.2015,Niedernhall,,Laurentiusstraße,,,,"Am vergangenen Samstag in der Zeit von 14.00 - 19.15 Uhr gingen unbekannte Täter zwei Wohnhäuser in Niedernhall in der Laurentiusstraße an. Sie hebelten hierzu die Schlafzimmertüre im UG des 1. Wohnhauses auf. Im Schlafzimmer erbeuteten sie zwei hochwertige Herrenarmbanduhren. Bei der einen handelt es sich um einen sog. Fliegerchronographen der Marke IWC, bei der anderen um einen Seemannschronographen der Marke Omega im Gesamtwert von mehreren tausend Euro. Die Täter drangen dann in das Untergeschoß vor und durchsuchten auch hier sämtliche Werkstattschränke. Vermutlich wurden sie durch die Heimkehr der Eigentümer gestört und verließen das Objekt durch ein Badezimmerfenster. Im Badezimmer entwendeten die Täter noch eine hochwertige Perlenkette. Die Eigentümerfamilie konnte im Garten den Lichtkegel von mehreren Taschen-lampen erkennen. Bei der Spurensuche durch die Polizei wurde letztendlich festgestellt, dass im Nachbargebäude ebenfalls eingebrochen worden war. Dort erkannten die Beamten, dass eine Verandatüre offenstand, die offensichtlich aufgebrochen worden war. Offenbar wurde hier aber nichts entwendet. Auch hier waren die Eigentümer nicht im Hause anwesend. Das Wohnobjekt wurde verschlossen und die Eigentümer informiert. Sachdienliche Hinweise auf die Einbrecher nimmt das Polizeirevier in Künzelsau unter Telefon 07940/9400 entgegen."
10.01.2015,Niedernhall,,Laurentiusstraße,,,,"Am vergangenen Samstag in der Zeit von 14.00 - 19.15 Uhr gingen unbekannte Täter zwei Wohnhäuser in Niedernhall in der Laurentiusstraße an. Sie hebelten hierzu die Schlafzimmertüre im UG des 1. Wohnhauses auf. Im Schlafzimmer erbeuteten sie zwei hochwertige Herrenarmbanduhren. Bei der einen handelt es sich um einen sog. Fliegerchronographen der Marke IWC, bei der anderen um einen Seemannschronographen der Marke Omega im Gesamtwert von mehreren tausend Euro. Die Täter drangen dann in das Untergeschoß vor und durchsuchten auch hier sämtliche Werkstattschränke. Vermutlich wurden sie durch die Heimkehr der Eigentümer gestört und verließen das Objekt durch ein Badezimmerfenster. Im Badezimmer entwendeten die Täter noch eine hochwertige Perlenkette. Die Eigentümerfamilie konnte im Garten den Lichtkegel von mehreren Taschen-lampen erkennen. Bei der Spurensuche durch die Polizei wurde letztendlich festgestellt, dass im Nachbargebäude ebenfalls eingebrochen worden war. Dort erkannten die Beamten, dass eine Verandatüre offenstand, die offensichtlich aufgebrochen worden war. Offenbar wurde hier aber nichts entwendet. Auch hier waren die Eigentümer nicht im Hause anwesend. Das Wohnobjekt wurde verschlossen und die Eigentümer informiert. Sachdienliche Hinweise auf die Einbrecher nimmt das Polizeirevier in Künzelsau unter Telefon 07940/9400 entgegen."
11.01.2015,Niedernhall,,Hauptstraße 30,,,,"Offenbar auf den Inhalt eines Tresors des Niedernhaller Rathauses hatten es derzeit noch Unbekannte am vergangenen Wochenende abgesehen. Zwischen Samstagnachmittag und Montagmorgen verschafften sich die Einbrecher gewaltsam Zutritt zu den Räumlichkeiten, nachdem sie an der Gebäuderückseite ein Fenster aufgebrochen hatten. In einem Büro machten sich die Langfinger daran auch den Wertschrank gewaltsam zu öffnen, was ihnen aber nicht gelang. Nach ersten Erkenntnissen entwendeten die Täter nichts. Ob die Langfinger bei der Tat gestört wurden ist nicht bekannt. Zeugen, die etwas Verdächtiges beobachtet haben oder weitere sachdienliche Hinweise geben können, werden gebeten, sich mit den Beamten des Niedernhaller Polizeipostens, unter Telefon 07940 8294, in Verbindung zu setzen."
12.01.2015,Heilbronn,,Buchenhof,,,,"Auf ein Wohnhaus in der Heilbronner Straße ""Buchenhof"" hatte es ein bislang Unbekannter am Montag, in der Zeit von 07.30 bis 19.50 Uhr, abgesehen. Der Täter hatte sich durch eine Tür gewaltsam Zugang zu dem Gebäude verschafft und konnte so in das Innere gelangen. Dort durchwühlte der Einbrecher sämtliche Behältnisse. Ob etwas gestohlen wurde, steht zum derzeitigen Zeitpunkt nicht fest. Der angerichtete Sachschaden beträgt etwa 1.000 Euro."
12.01.2015,Heilbronn,,Erst-Abbe-Straße,,,,"Auch ein Wohnhaus in der Erst-Abbe-Straße blieb am Montag, in der Zeit von 14.45 Uhr bis 16.00 Uhr, nicht unbehelligt. Hier schlug ein Täter eine Scheibe ein und gelangte so in das Gebäudeinnere. Mehrere Räume wurden durchsucht. Außer einigen Besteckteilen wurde vermutlich nichts Weiteres gestohlen. Sachdienliche Hinweise nimmt die Polizei Heilbronn-Böckingen unter der Tel.Nr.: 07131 20406-0 entgegen."
12.01.2015,Gemmingen,,Louis-Schuler-Straße,Firmengebäude,,,"Ein Firmengebäude in der Gemminger Louis-Schuler-Straße war in der Zeit von Sonntag, 23.00 Uhr, bis Montag, 14.30 Uhr, das Ziel eines Unbekannten. Der Täter verschaffte sich durch ein Fenster gewaltsam Zugang zu den Räumlichkeiten und suchte offenbar gezielt nach Bargeld. Über die Höhe des Diebesgutes gibt es bislang keine gesicherten Erkenntnisse. Personen, die in der Nacht zum Montag im Bereich des Tatortes verdächtige Beobachtungen machen konnten oder sonstige sachdienliche Hinweise geben können, werden gebeten, sich unter der Tel.Nr.: 07262 6095-0 mit der Polizei Eppingen in Verbindung zu setzen."
12.01.2015,Heilbronn,,Etzelstraße,Gaststätte,,,"Auf die Räume eines türkischen Imbisshauses in der Heilbronner Etzelstraße hatte es ein bislang Unbekannter in der Zeit von Samstag, 23.00 Uhr, bis Montag, 10.00 Uhr, abgesehen. Der Täter verschaffte sich gewaltsam Zugang zu dem Lokal und brach dort zwei Geldspielautomaten und eine Registrierkasse auf. Die Höhe des angerichteten Sachschadens ist nicht bekannt. Welche Menge an Bargeld der Einbrecher erbeuten konnte, steht noch nicht fest. Sachdienliche Hinweise zum Einbruch nimmt die Polizei Heilbronn unter der Tel.Nr.: 07131 104-2500 entgegen."
12.01.2015,Neuenstadt,,Berliner Ring 1,Kindergarten,,,"Der Kindergarten in der Neuenstadter Straße ""Berliner Ring"" war in der Zeit von Samstag, 13.00 Uhr, bis Montag, 07.30 Uhr, das Ziel eines Unbekannten. Der Täter hatte sich durch ein Fenster gewaltsam Zutritt zu den Räumlichkeiten verschafft und brach dort weitere Behältnisse auf. Dem Einbrecher fielen dabei ein Notebook und etwas Bargeld in die Hände. Der angerichtete Sachschaden beträgt mehrere hundert Euro. Sachdienliche Hinweise nimmt die Polizei Neuenstadt unter der Tel.Nr.: 07139 4710-0 entgegen."
12.01.2015,Hardheim,,Gustav-Eirich-Straße,Einkaufsmöglichkeit,,,"Ein landwirtschaftlicher Markt in der Hardheimer Gustav-Eirich-Straße war am Montag, gegen 23.00 Uhr, das Ziel bislang unbekannter Einbrecher. Die Täter hatten sich durch das Einschlagen der Türverglasung Zugang zum Gebäude verschafft und entwendeten aus einem Regal vier Motorsägen und zwei Heckenscheren der Marke Stihl. Der Diebstahlschaden beträgt ungefähr 3.000 Euro. Zum Sachschaden können bislang keine näheren Angaben gemacht werden. Sachdienliche Hinweise nimmt die Polizei in Buchen, Telefon 06281 904-0, entgegen."
13.01.2015,Künzelsau,,Seestraße 44,Kindergarten,,,Der Kindergarten in der Künzelsauer Seestraße war in der Nacht zum Dienstag das Ziel eines Unbekannten. Der Täter hatte sich durch ein Fenster gewaltsam Zugang zu den Räumlichkeiten verschafft und suchte im Innern des Gebäudes offenbar gezielt nach Bargeld. Insgesamt fiel dem Einbrecher nur eine äußerst geringe Menge an Münzgeld in die Hände. Der angerichtete Sachschaden beläuft sich auf etwa 500 Euro. Sachdienliche Hinweise nimmt die Polizei Künzelsau unter der Tel.Nr.: 07940 940-0 entgegen.
14.01.2015,Kirchardt,Berwangen,Fürfelder Weg,,,,"Auf ein Wohnhaus in der Kirchardt-Berwangener Straße ""Fürfelder Weg"" hatte es ein bislang Unbekannter am Mittwoch, in der Zeit von 11.15 Uhr bis 18.15 Uhr, abgesehen. Der Täter hatte sich durch ein Fenster gewaltsam Zugang zu den Räumlichkeiten verschafft. Mehrere Behältnisse wurden durchsucht. Ob der Einbrecher etwas mitgehen ließ, steht bisher noch nicht fest. Personen, die am Mittwochnachmittag rund um den Tatort verdächtige Beobachtungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07264 9590-0 mit der Polizei Bad Rappenau in Verbindung zu setzen."
13.01.2015,Heilbronn,,Untere Kanalstraße,Firmengebäude,,,"Auf eine Werkstatt in der Heilbronner Straße ""Untere Kanalstraße"" hatte es in der Nacht zum Dienstag ein bislang Unbekannter abgesehen. Der Täter verschaffte sich durch ein Fenster gewaltsam Zutritt zu den Räumlichkeiten und ließ eine Rolle Kupferblech, deren Gewicht etwa 100 Kilogramm beträgt, im Wert von mehreren hundert Euro mitgehen. Der angerichtete Sachschaden beläuft sich auf etwa 200 Euro. Sachdienliche Hinweise nimmt die Polizei Heilbronn unter der Tel.Nr.: 07131 104-2500 entgegen."
14.01.2015,Neckarsulm,,Karlstraße,,,,"Eine Schule in der Neckarsulmer Karlstraße war in der Nacht zum Mittwoch das Ziel eines Unbekannten. Der Täter hatte sich durch ein Fenster gewaltsam Zutritt zu den Schulräumen verschafft und dort mehrere Behältnisse aufgebrochen. Der angerichtete Sachschaden ist beträchtlich, jedoch derzeit noch nicht genau zu beziffern. Ob etwas gestohlen wurde, muss noch ermittelt werden. Personen die sachdienliche Hinweise geben können werden gebeten, sich unter der Tel.Nr.: 07132 9371-0 mit der Polizei Neckarsulm in Verbindung zu setzen."
14.01.2015,Hardheim,,Würzburger Straße,Gaststätte,,X,"Ein türkischer Imbiss in der Würzburger Straße in Hardheim hatte am Mittwoch, zwischen 04.00 Uhr und 05.00 Uhr, ungebetenen Besuch. Zwei Männer hatten dort die Eingangstür des Bistros aufgebrochen und konnten so in den Verkaufsraum gelangen. Dort hebelten sie einen Geldspielautomaten auf und suchten danach ihr Heil in der Flucht. Im Zuge einer sofort eingeleiteten Fahndung konnten in Tatortnähe zwei Personen festgestellt werden, die als mutmaßliche Täter in Frage kommen konnten. Ein 28-Jähriger wurde festgenommen, während sein Begleiter entkommen konnte. Das Diebesgut, welche die beiden entlang ihres Fluchtweges abgelegt hatten, konnte zwischenzeitlich aufgefunden werden. Der 28-Jährige wurde nach Abschluss der polizeilichen Maßnahmen auf freien Fuß gesetzt. Die Ermittlungen nach dem zweiten Tatverdächtigen sind noch im Gange."
16.01.2015,Eppingen,,Eisenbahnstraße,Einkaufsmöglichkeit,,,"Ein Sportstudio in der Eppinger Eisenbahnstraße war am Freitag, gegen 04.45 Uhr, das Ziel eines Unbekannten. Der Täter hatte sich durch ein Fenster gewaltsam Zugang zu den Räumlichkeiten verschafft und suchte offenbar gezielt nach Bargeld. Außer einigen wenigen Euromünzen konnte der Einbrecher jedoch nichts erbeuten. Der angerichtete Sachsachaden beläuft sich auf etwa 500 Euro. Sachdienliche Hinweise nimmt die Eppinger Polizei unter der Tel.Nr.: 07262 6095-0 entgegen."
14.01.2015,Gemmingen,,Bachweg,,X,,"Ein Wohnhaus im Gemminger Bachweg war am Mittwoch, in der Zeit von 16.00 Uhr bis 18.00 Uhr, das Ziel eines Unbekannten. Der Täter versuchte ein Fenster aufzuhebeln, was jedoch glücklicherweise nicht gelang. Die Höhe des angerichteten Sachschadens ist nicht bekannt. Personen, die am Mittnachnachmittag im Bereich des Tatortes verdächtige Wahrnehmungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07262 6095-0 mit der Polizei Eppingen in Verbindung zu setzen."
15.01.2015,Öhringen,,Gleiwitzer Straße,Firmengebäude,X,,"Auf das Gebäude einer Firma in der Öhringer Gleiwitzer Straße hatte es ein Unbekannter in der Zeit von Sonntag bis Donnerstag abgesehen. Der Täter versuchte ein Tor aufzuhebeln, was jedoch glücklicherweise nicht gelang. Unverrichteter Dinge musste der verhinderte Einbrecher von dannen ziehen. Der angerichtete Sachschaden beträgt über 1.000 Euro. Sachdienliche Hinweise nimmt die Polizei Öhringen unter der Tel.Nr.: 07941 930-0 entgegen."
15.01.2015,Ilsfeld,Auenstein,Dorfwiesen,,X,,"Ein Hausbesitzer stellte am Donnerstag um 16.30 Uhr nach der Rückkehr aus dem Urlaub fest, dass ein Unbekannter versucht hatte, in sein Wohnhaus in den Dorfwiesen einzubrechen. Offensichtlich war der Versuch, die Terrassentüre aufzuhebeln misslungen, möglicherweiese wurde der Täter bei der Tatausführung auch gestört. Hinweise über verdächtige Wahrnehmungen nimmt der Polizeiposten Ilsfeld unter Telefon 07062 915550 entgegen."
16.01.2015,Obersulm,,Mühlrainstraße 51,Schule,,,"Bislang Unbekannte drangen in der Nacht von Donnerstag auf Freitag gewaltsam über ein Fenster in das Evangelische Paul-Distelbarth-Gymnasium ein. Mehrere Büros wurden aufgebrochen, ein Tresor aus der Verankerung herausgerissen. Der Versuch, an den Inhalt des Tresors zu gelangen, misslang. Die Höhe des angerichteten Sachschadens wird mit ca. 3 000 Euro angegeben. Hinweise über sachdienliche Wahrnehmungen nimmt der Polizeiposten Obersulm unter 07130 7077 entgegen."
16.01.2015,Neckargerach,,Gartenstraße,,,,"Ein Hausbesitzer der Gartenstraße stellte am Freitag gegen 21.00 Uhr bei der Rückkehr fest, dass Unbekannte über ein ebenerdiges Fenster auf der Gebäuderückseite gewaltsam eingebrochen waren. Die Räumlichkeiten waren durchwühlt, Schmuck im Wert von mehreren Hundert Euro fehlte. In ein Nachbargebäude, das derzeit unbewohnt und renoviert wird, wurde ebenfalls eingebrochen. Hinweise über verdächtige Wahrnehmungen nimmt die Polizei Mosbach unter Telefon 06261 8090 entgegen."
17.01.2015,Brackenheim,,Austraße,Einkaufsmöglichkeit,,,"Am frühen Samstagmorgen, 17.01.2015, im Zeitraum von 01.00 bis 06.00 Uhr, brachen bisher unbekannte Täter in das Spielcasino in der Brackenheimer Austraße ein. Nachdem sie offensichtlich zuvor bereits während der Öffnungszeit ein Fenster so manipuliert hatten, dass sie in der Nacht einsteigen konnten, wurden im Casino zahlreiche Geldspielautomaten aufgebrochen und das Bargeld entwendet. Die Höhe des Sachschadens und Diebesgutes lässt sich noch nicht abschätzen. Hinweise zur Tatausführung nimmt das Polizeirevier Lauffen unter Tel 07133/2090 entgegen."
17.01.2015,Lauda,Königshofen,Bussardweg,,,,"Am späten Samstagnachmittag, 17.01.2015, im Zeitraum zwischen 15.30 Uhr und 17.50 Uhr, sind unbekannte Täter in ein Wohnhaus im Bussardweg in Königshofen eingebrochen. Durch Aufhebeln mehrerer Türen im Innern des Gebäudes, nachdem sie über ein aufgewuchtetes Kellerfenster hineingelangt waren, richteten sie größeren Sachschaden an. Vermutlich wurden sie bei der Tatausführung gestört, und verließen das Haus ohne Diebesgut."
18.01.2015,Eppingen,,Eisenbahnstraße,Friseursalon,X,,"Auf die Räume eines Friseurgeschäftes und eines Vereines in der Eppinger Eisenbahnstraße hatte es in der Nacht zum Sonntag ein bislang Unbekannter abgesehen. Einen Erfolg konnte der Einbrecher für sich jedoch nicht verbuchen, denn er wurde offenbar bei seiner Tatausführung gestört. Jedenfalls gelang es ihm nicht, in das Innere der Räumlichkeiten einzudringen. Über die Höhe des angerichteten Sachschadens liegen derzeit noch keine Erkenntnisse vor. Personen, die in der Nacht zum Sonntag im Bereich der Eisenbahnstraße verdächtige Wahrnehmungen machen konnten werden gebeten, sich unter der Tel.Nr.: 07262 6095-0 mit der Eppinger Polizei in Verbindung zu setzen."
18.01.2015,Heilbronn,,Etzelstraße,Einkaufsmöglichkeit,,,"Ein Sportstudio in der Heilbronner Etzelstraße war in der Nacht zum Sonntag das Ziel eines Unbekannten. Wie sich der Einbrecher Zutritt zu den Räumlichkeiten verschafft hatte, steht noch nicht fest. Ob und was der Täter mitgehen ließ, muss noch geklärt werden. Personen, die in der Nacht zum Sonntag im Bereich des Tatortes verdächtige Wahrnehmungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07131 104-2500 mit der Polizei Heilbronn in Verbindung zu setzen."
19.01.2015,Walldürn,,Blumenstraße,,X,,"In ein Gebäude der Walldürner Blumenstraße versuchte ein bislang Unbekannter in der Zeit zwischen Freitag, 13 Uhr, und Montag, 16:45 Uhr, einzubrechen. Der Täter hatte in dieser Zeit versucht, zwei elektrisch betriebene Garagentore gewaltsam zu öffnen. Dies mißlang ihm jedoch. Ins Innere der Räumlichkeiten gelangte der Einbrecher nicht. Am Garagentor entstand Sachschaden in noch unbekannter Höhe. Zeugen, die etwas Verdächtiges beobachtet haben, sollten sich bei der Buchener Polizei unter Telefon 06281 904-0 melden."
19.01.2015,Waldbrunn,,Theodor-Leutwein-Straße,,X,,"In ein Wohnhaus einzubrechen versuchten bislang unbekannte Täter am Montag in Waldbrunn. Zwischen 9:45 Uhr und 12:30 Uhr versuchten diese eine Nebeneingangstüre des Hauses in der Theodor-Leutwein-Straße gewaltsam zu öffnen, um ins Innere zu kommen. Dies gelang ihnen jedoch nicht. An der Tür entstand Schaden in noch unbekannter Höhe. Personen, die verdächtige Beobachtungen gemacht haben oder weitere sachdienliche Hinweise geben können, sollten sich bei der Limbacher Polizei unter Telefon 06274 92805-0 melden."
19.01.2015,Flein,,Innere Bergstraße,,,,"Die Terrassentüre hebelten Unbekannte in der Zeit zwischen dem vergangenen Freitag und Montagabend an einem Wohnhaus in der Inneren Bergstraße in Flein auf. Im Innern des Gebäudes durchsuchten sie alle Zimmer. Im Keller brachen sie einen dort stehenden Tresor auf und räumten ihn aus. Den Langfingern fiel eine hochwertige Armbanduhr und etwas Schmuck in die Hände. Aufgrund der gefundenen Spuren gehen die Ermittler von zwei Tätern aus. Wer in der relevanten Zeit verdächtige Personen in der Inneren Bergstraße gesehen hat, wird gebeten, sich mit der Kriminalpolizei, Telefon 07131 104-4444, in Verbindung zu setzen."
20.01.2015,Bad Friedrichshall,Jagstfeld,,,,,"Nur etwas mehr als drei Stunden waren die Bewohner eines Einfamilienhauses in Bad Friedrichshall-Jagstfeld am Dienstagabend nicht zuhause. Diese Zeit zwischen 16:30 Uhr und 20 Uhr genügte Unbekannten, in das Gebäude einzubrechen. Hierzu hebelten sie ein Kellerfenster auf. Im Haus suchten sie offensichtlich gezielt nach Bargeld, sie fanden allerdings nur eine kleine Summe. Schmuck ließen sie zurück. Hinweise auf die Täter hat die Polizei keine. Zeugen, die in der tatrelevanten Zeit im Bereich der Marienstraße verdächtige Personen oder Fahrzeuge gesehen haben, mögen sich mit dem Polizeiposten Bad Friedrichshall, Telefon 07136 98030, in Verbindung setzen."
21.01.2015,Ittlingen,,Alfred-Britsch-Straße,,,,"Die Hintertüre eines Gebäudes in der Ittlinger Alfred-Britsch-Straße brachen Unbekannte am Mittwochabend auf. Die Einbrecher stiegen in der Zeit zwischen 17 und 20 Uhr in das Wohnhaus ein und durchsuchten ein Arbeiszimmer sowie das Schlafzimmer. Ihre Beute bestand aus Bargeld, etwas Schmuck und einigen Gedenkmünzen. Hinweise auf die Täter hat die Polizei keine."
21.01.2015,Künzelsau,,Langenburger Straße,,X,,"Einbruchspuren fand ein Hausbesitzer am Mittwochnachmittag an der Tür seines Einfamilienhauses in der Langenburger Straße in Künzelsau. Vermutlich in der Zeit zwischen 12.30 und 14.15 Uhr hatten sich offenbar Unbekannte an der Haustür zu schaffen gemacht und diese aufbrechen wollen. Wer im Tatzeitraum verdächtige Wahrnehmungen im Bereich des Wohngebietes gemacht hat, sollte sich mit der Polizei Künzelsau, Telefon 07940 9400, in Verbindung setzen."
22.01.2015,Bad Rappenau,,Zehn Morgen,,,,"Auf eine Wohnung in der Bad Rappenauer Straße ""Zehn Morgen"" hatte es am Donnerstag, in der Zeit von 12.00 Uhr bis 21.15 Uhr, ein bislang Unbekannter abgesehen. Der Einbrecher hatte eine Tür aufgewuchtet und konnte so in das Innere der Räumlichkeiten gelangen. Dort durchsuchte der Täter mehrere Behältnisse, wobei ihm bei seinem Beutezug einige Schmuckstücke und Uhren in die Hände fielen. Personen, die während des betreffenden Tatzeitraumes im Bereich des Tatortes verdächtige Wahrnehmungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07262 6095-0 mit der Polizei Bad Rappenau in Verbindung zu setzen."
22.01.2015,Beilstein,,Ruländerstraße,,,,"Auf ein Wohnhaus in der Beilsteiner Ruländerstraße hatte es am Donnerstag, in der Zeit von 15.30 Uhr bis 19.00 Uhr, ein bislang Unbekannter abgesehen. Der Täter wuchtete eine Tür auf und konnte so in das Innere des Gebäudes gelangen. Dort durchsuchte der Einbrecher mehrere Behältnisse. Ihm fielen bei seinem Beutezug einige Schmuckstücke und etwas Bargeld in die Hände. Sachdienliche Hinweise nimmt die Polizei Ilsfeld unter der Tel.Nr.: 07062 91555-0 entgegen."
23.01.2015,Heilbronn,Kirchhausen,Asperger Straße,,,,"Ein bislang unbekannter Täter hebelte im Verlauf des Freitagnachmittag in der Asperger Straße einem Einfamilienhaus die Terrassentüre auf und gelangte so in das Gebäude. Er durchsuchte sämtliche Räumlichkeiten, Schränke und Schubladen und flexte einen Tresor auf und entwendete hieraus einen niedri-gen vierstelligen Betrag. Sachdienliche Hinweise nimmt das Polizeirevier Heil-bronn-Böckingen, Telefon 07131/204060, entgegen."
23.01.2015,Leingarten,Schluchtern,Platanenweg,,,,"Mit einem Schraubendreher hebelte ein unbekannter Täter am Freitagnachmittag die Terrassentüre an einem Einfamilienhaus im Platanenweg auf und konnte so in das Gebäude eindringen. Dort durchsuchte er alle Räume und öffnete nahezu alle Schränke, Schubladen und Türen. Nach bisherigen Feststellungen entwendete er den kompletten Schmuck der Hausfrau. Der Wert des Diebesgutes steht noch nicht fest. An der Terrassentüre entstand ein Schaden in Höhe von etwa 1.000 Euro. Sachdienliche Hinweise nimmt das Polizeirevier Lauffen, Telefon 07133/2090, entgegen."
23.01.2015,Leingarten,Großgartach,Danziger Straße,,,,"Mehrere hundert Euro Bargeld erbeutete ein unbekannter Täter bei einem Einbruch in eine Eigentumswohnung in der Danziger Straße. Am Freitagnachmittag wuchtete er mit einem noch unbekannten Werkzeug die Terrassentüre auf, betrat die Wohnung und durchwühlte sämtliche Schränke und Behältnisse. Sachdienliche Hinweise nimmt das Polizeirevier Lauffen, Telefon 07133/2090, entgegen. Bad Rappenau: Tageswohnungseinbruch Schmuck und Uhren im Wert von mehreren tausend Euro erbeutete ein Einbrecher am Donnerstagnachmittag in einer Wohnung in der Straße Zehn Morgen. Zunächst erkletterte er einen 170 cm hoch gelegenen Balkon, wuchtete dann eine Terrassentüre auf und gelangte so in das Objekt, wo er fast alle Räumlichkeiten durchsuchte. Sachdienliche Hinweise nimmt das Polizeirevier Eppingen, Telefon 07262/60950, entgegen."
24.01.2015,Bad Friedrichshall,,Neckarsulmer Straße,,,,"Am Samstag, 24.01.2015, in der Zeit zwischen 16.30 und 19.00 Uhr, hebelte ein unbekannter Täter die Terrassentüre an einem Wohnhaus in der Neckarsulmer Straße auf. Im Gebäude durchsuchte er sämtliche Stockwerke und sogar den Dachboden nach potentiel-lem Diebesgut. Der unbekannte Täter entwendete Arm- und Halsketten im Wert von ca. 100,- Euro. Der ange-richtet Schaden an der Türe ist deutlich höher. Er beträgt nach ersten Schätzungen ca. 1000,- Euro."
26.01.2015,Künzelsau,,Amrichshäuser Straße 4,Firmengebäude,,,"In die Räumlichkeiten der Diakonischen Bezirksstelle in der Amrichshäuser Straße Künzelsau haben sich vermutlich über das vergangene Wochenende Unbekannte gewaltsam Zutritt verschafft. In der Zeit zwischen Freitag, 17 Uhr, und Montag, 7.15 Uhr, gelangten die Täter über eine zuvor aufgewuchtete Balkontür an der Südseite des Gebäudes zunächst in die Büroräume. In einem Nachbarzimmer fanden sie einen eingebauten Wertschrank, den sie von der Wand abmontierten und komplett mitnahmen. Nachdem sie eine weitere Tür aufgebrochen hatten, verließen sie den Tatort offensichtlich über ein tiefer gelegenes Fenster zum Hofraum hin. Der von den Einbrechern angerichtete Sachschaden in Höhe von zirka 2.000 Euro übertrifft den Wert ihrer Beute bei Weitem. Wer im Tatzeitraum etwas Verdächtiges im Bereich der Amrichshäuser Straße bemerkt hat, sollte sich mit der Künzelsauer Polizei, Telefon 07940 9400, in Verbindung setzen."
26.01.2015,Kupferzell,Bauersbach,Vogelsang,,,,"Ein Einfamilienhaus in Kupferzell-Bauersbach war am Montag das Ziel eines bislang unbekannten Einbrechers. Zwischen 11 und 13 Uhr schleuderte der Einbrecher einen Stein gegen ein Fenster des Wohnhauses im Vogelsang, wodurch die Scheibe zersplitterte und der Täter ins Innere des Gebäudes gelangte. Dort durchstöberte er sämtliche Zimmer sowie das Inventar nach möglicher Beute. Dabei fiel ihm etwas Schmuck in die Hände. Weiterhin zerschlug der Langfinger ein Sparschwein und nahm den Inhalt an sich. Der Wert des Diebesguts kann nicht beziffert werden. Zeugen, die etwas Verdächtiges beobachtet haben oder weitere sachdienliche Hinweise geben können, sollten sich mit der Künzelsauer Polizei unter Telefon 07940 940-0 in Verbindung setzen."
27.01.2015,Bad Friedrichshall,Heuchlinger Straße,,Einkaufsmöglichkeit,,,"Auf einen Backshop in der Heuchlinger Straße in Bad Friedrichshall hatte es in der Nacht zum Dienstag ein bislang Unbekannter abgesehen. Der Täter wuchtete eine Tür auf und konnte so in das Innere der Räume gelangen. Bei seinem Beutezug fiel dem Einbrecher etwas Bargeld in die Hände. Der angerichtete Sachschaden beläuft sich auf mindestens 1.500 Euro. Personen, die in der Tatnacht diesbezüglich verdächtige Wahrnehmungen machen konnten werden gebeten, sich unter der Tel.Nr.: 07136 9803-0 mit der Bad Friedrichshall Polizei in Verbindung zu setzen."
28.01.2015,Heilbronn,Böckinger,Reiherweg,,,,"Auf ein Wohnhaus im Böckinger Reiherweg hatte es am Mittwoch, in der Zeit von 10.00 Uhr bis 12.30 Uhr, ein bislang Unbekannter abgesehen. Der Täter verschaffte sich vermutlich durch ein Fenster Zugang zu den Räumlichkeiten und durchsuchte dort sämtliche Behältnisse. Über die Höhe des angerichteten Sachschadens oder des erlangten Diebesgutes liegen bisher keine Erkenntnisse vor. Personen, die am Mittwochvormittag im Bereich des Reiherweges oder der näheren Umgebung verdächtige Wahrnehmungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07131 20406-0 mit der Polizei Heilbronn-Böckingen in Verbindung zu setzen."
28.01.2015,Heilbronn,,Hermann-Hesse-Straße,,X,,"Auf ein Gebäude in der Heilbronner Hermann-Hesse-Straße hatte es ein bislang Unbekannter in der Zeit von Montag bis Mittwoch abgesehen. Der Täter versuchte, mit einem Gegenstand ein Fenster aufzubrechen, was jedoch nicht gelang. Möglicherweise wurde der Einbrecher bei seiner weiteren Tatausführung gestört und suchte das Weite. Personen, die während des betreffenden Tatzeitraumes im Bereich der Hermann-Hesse-Straße verdächtige Beobachtungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07131 104-2500 mit der Heilbronner Polizei in Verbindung zu setzen."
29.01.2015,Weinsberg,Gellmersbach,Dahenfelder Straße,,,,"Auf den Kindergarten in der Gellmersbacher Dahenfelder Straße hatte es in der Nacht zum Donnerstag ein bislang Unbekannter abgesehen. Der Täter hatte ein Fenster gewaltsam geöffnet und sich so Zutritt zu den Räumlichkeiten verschafft. Im Inneren durchsuchte der Einbrecher sämtliche Behältnisse, wobei der bis zu den Zimmern der Grundschule vordrang. Ihm fiel bei seinem Beutezug etwas Bargeld in die Hände. Der angerichtete Sachschaden beläuft sich auf mehrere hundert Euro. Sachdienliche Hinweise nimmt die Weinsberger Polizei unter der Tel.Nr.: 07134 992-0 entgegen."
